City,Category,Year,Degree,Closeness,Betweenness,Eigenvector,SourceFile,Score_Equal,Score_Corr,Score_Category
Rawalpindi,Meat_Poultry_Dairy,2024,1.0,1.0,0.0,0.2425356250363329,Meat_Poultry_Dairy_2024_centrality_tau0.7.csv,0.5606339062590833,,0.08409508593886249
Sargodha,Meat_Poultry_Dairy,2024,1.0,1.0,0.0,0.2425356250363329,Meat_Poultry_Dairy_2024_centrality_tau0.7.csv,0.5606339062590833,,0.08409508593886249
Sialkot,Meat_Poultry_Dairy,2024,1.0,1.0,0.0,0.2425356250363329,Meat_Poultry_Dairy_2024_centrality_tau0.7.csv,0.5606339062590833,,0.08409508593886249
Sukkur,Meat_Poultry_Dairy,2024,1.0,1.0,0.0,0.2425356250363329,Meat_Poultry_Dairy_2024_centrality_tau0.7.csv,0.5606339062590833,,0.08409508593886249
Bahawalpur,Non_Food_Essentials,2023,1.0,1.0,0.0,0.2425356250363329,Non_Food_Essentials_2023_centrality_tau0.7.csv,0.5606339062590833,,0.08409508593886249
Bannu,Non_Food_Essentials,2023,1.0,1.0,0.0,0.2425356250363329,Non_Food_Essentials_2023_centrality_tau0.7.csv,0.5606339062590833,,0.08409508593886249
Faisalabad,Non_Food_Essentials,2023,1.0,1.0,0.0,0.2425356250363329,Non_Food_Essentials_2023_centrality_tau0.7.csv,0.5606339062590833,,0.08409508593886249
Gujranwala,Non_Food_Essentials,2023,1.0,1.0,0.0,0.2425356250363329,Non_Food_Essentials_2023_centrality_tau0.7.csv,0.5606339062590833,,0.08409508593886249
Hyderabad,Non_Food_Essentials,2023,1.0,1.0,0.0,0.2425356250363329,Non_Food_Essentials_2023_centrality_tau0.7.csv,0.5606339062590833,,0.08409508593886249
Islamabad,Non_Food_Essentials,2023,1.0,1.0,0.0,0.2425356250363329,Non_Food_Essentials_2023_centrality_tau0.7.csv,0.5606339062590833,,0.08409508593886249
Karachi,Non_Food_Essentials,2023,1.0,1.0,0.0,0.2425356250363329,Non_Food_Essentials_2023_centrality_tau0.7.csv,0.5606339062590833,,0.08409508593886249
Khuzdar,Non_Food_Essentials,2023,1.0,1.0,0.0,0.2425356250363329,Non_Food_Essentials_2023_centrality_tau0.7.csv,0.5606339062590833,,0.08409508593886249
Lahore,Non_Food_Essentials,2023,1.0,1.0,0.0,0.2425356250363329,Non_Food_Essentials_2023_centrality_tau0.7.csv,0.5606339062590833,,0.08409508593886249
Larkana,Non_Food_Essentials,2023,1.0,1.0,0.0,0.2425356250363329,Non_Food_Essentials_2023_centrality_tau0.7.csv,0.5606339062590833,,0.08409508593886249
Multan,Non_Food_Essentials,2023,1.0,1.0,0.0,0.2425356250363329,Non_Food_Essentials_2023_centrality_tau0.7.csv,0.5606339062590833,,0.08409508593886249
Peshawar,Non_Food_Essentials,2023,1.0,1.0,0.0,0.2425356250363329,Non_Food_Essentials_2023_centrality_tau0.7.csv,0.5606339062590833,,0.08409508593886249
Quetta,Non_Food_Essentials,2023,1.0,1.0,0.0,0.2425356250363329,Non_Food_Essentials_2023_centrality_tau0.7.csv,0.5606339062590833,,0.08409508593886249
Rawalpindi,Non_Food_Essentials,2023,1.0,1.0,0.0,0.2425356250363329,Non_Food_Essentials_2023_centrality_tau0.7.csv,0.5606339062590833,,0.08409508593886249
Sargodha,Non_Food_Essentials,2023,1.0,1.0,0.0,0.2425356250363329,Non_Food_Essentials_2023_centrality_tau0.7.csv,0.5606339062590833,,0.08409508593886249
Sialkot,Non_Food_Essentials,2023,1.0,1.0,0.0,0.2425356250363329,Non_Food_Essentials_2023_centrality_tau0.7.csv,0.5606339062590833,,0.08409508593886249
Sukkur,Non_Food_Essentials,2023,1.0,1.0,0.0,0.2425356250363329,Non_Food_Essentials_2023_centrality_tau0.7.csv,0.5606339062590833,,0.08409508593886249
Bahawalpur,Non_Food_Essentials,2024,1.0,1.0,0.0,0.2425356250363329,Non_Food_Essentials_2024_centrality_tau0.7.csv,0.5606339062590833,,0.08409508593886249
Bannu,Non_Food_Essentials,2024,1.0,1.0,0.0,0.2425356250363329,Non_Food_Essentials_2024_centrality_tau0.7.csv,0.5606339062590833,,0.08409508593886249
Faisalabad,Non_Food_Essentials,2024,1.0,1.0,0.0,0.2425356250363329,Non_Food_Essentials_2024_centrality_tau0.7.csv,0.5606339062590833,,0.08409508593886249
